1, 22.40, 64.50
2, 22.40, 65.50
3, 22.40, 66.70
4, 22.40, 67.00
5, 22.40, 67.40
6, 22.40, 68.50
7, 22.40, 68.10
8, 22.40, 66.90
9, 22.40, 67.50
10, 22.40, 67.00
11, 22.40, 66.70
12, 22.40, 66.70
13, 22.40, 67.00
14, 22.40, 67.10
15, 26.00, 43.70
16, 26.00, 44.50
17, 25.90, 44.00
18, 25.80, 44.20
19, 25.70, 44.40
20, 25.70, 44.40
21, 25.60, 44.70
22, 25.50, 44.90
23, 25.40, 45.10
24, 25.40, 45.30
25, 25.30, 45.50
26, 25.20, 45.70
27, 25.20, 46.00
28, 25.10, 46.10
29, 25.00, 46.30
30, 25.00, 46.50
31, 24.90, 46.80
32, 24.80, 46.90
33, 24.80, 47.00
34, 24.70, 47.10
35, 24.70, 47.30
36, 24.60, 47.30
37, 24.60, 47.50
38, 24.50, 47.70
39, 24.50, 47.80
40, 24.40, 47.90
41, 24.40, 48.10
42, 24.30, 48.30
43, 24.30, 48.50
44, 24.20, 48.60
45, 24.20, 48.70
46, 24.10, 48.90
47, 24.10, 49.10
48, 24.00, 49.20
49, 24.00, 49.40
50, 23.90, 49.50
51, 23.90, 49.60
52, 23.80, 49.70
53, 23.80, 49.80
54, 23.80, 49.90
55, 23.80, 50.00
56, 23.70, 50.20
57, 23.70, 50.30
58, 23.60, 50.30
59, 23.60, 50.40
60, 23.60, 50.50
61, 23.50, 50.60
62, 23.50, 50.70
63, 23.50, 50.80
64, 23.40, 50.90
65, 23.40, 50.90
66, 23.40, 51.00
67, 23.40, 51.20
68, 23.30, 51.30
69, 23.30, 51.40
70, 23.30, 51.50
71, 23.20, 51.50
72, 23.20, 51.70
73, 23.20, 51.80
74, 23.10, 51.90
75, 23.10, 52.00
76, 23.10, 52.10
77, 23.10, 52.10
78, 23.00, 52.10
79, 23.00, 52.20
80, 23.00, 52.20
81, 23.00, 52.30
82, 22.90, 52.40
83, 22.90, 52.50
84, 22.90, 52.50
85, 22.80, 52.50
86, 22.80, 52.60
87, 22.80, 52.70
88, 22.80, 52.70
89, 22.80, 52.80
90, 22.80, 52.80
91, 22.80, 52.90
92, 22.70, 53.00
93, 22.70, 53.00
94, 22.70, 53.10
95, 22.70, 53.20
96, 22.70, 53.20
97, 22.60, 53.20
98, 22.60, 53.30
99, 22.60, 53.30
100, 22.60, 53.40
101, 22.60, 53.50
102, 22.60, 53.50
103, 22.60, 53.60
104, 22.50, 53.60
105, 22.50, 53.70
106, 22.50, 53.70
107, 22.50, 53.80
108, 22.50, 53.90
109, 22.50, 53.90
110, 22.40, 53.90
111, 22.40, 53.90
112, 22.50, 54.10
113, 22.40, 54.00
114, 22.40, 54.10
115, 22.40, 54.10
116, 22.40, 54.10
117, 22.30, 54.20
118, 22.40, 54.30
119, 22.40, 54.40
120, 22.30, 54.40
121, 22.30, 54.40
122, 22.30, 54.50
123, 22.30, 54.50
124, 22.30, 54.60
125, 22.30, 54.60
126, 22.30, 54.60
127, 22.20, 54.60
128, 22.20, 54.60
129, 22.20, 54.70
130, 22.20, 54.80
131, 22.20, 54.80
132, 22.20, 54.80
133, 22.20, 54.90
134, 22.20, 54.90
135, 22.10, 55.00
136, 22.10, 55.00
137, 22.10, 55.10
138, 22.10, 55.10
139, 22.10, 55.20
140, 22.10, 55.20
141, 22.70, 62.10
215, 25.60, 45.40
216, 25.70, 46.20
217, 25.60, 46.30
218, 25.50, 46.40
219, 25.50, 46.60
220, 25.40, 46.70
221, 25.30, 46.90
222, 25.30, 47.00
223, 25.20, 47.20
224, 25.20, 47.30
225, 25.10, 47.40
226, 25.10, 47.60
227, 25.00, 47.70
228, 25.00, 47.80
229, 24.90, 47.90
230, 24.90, 48.10
231, 24.80, 48.10
232, 24.80, 48.20
233, 24.70, 48.40
234, 24.60, 48.40
235, 24.60, 48.50
236, 24.60, 48.70
237, 24.50, 48.80
238, 24.50, 48.90
239, 24.40, 48.90
240, 24.40, 49.00
241, 24.40, 49.10
242, 24.30, 49.20
243, 24.30, 49.30
244, 24.20, 49.40
245, 24.20, 49.40
246, 24.10, 49.50
247, 24.10, 49.60
248, 24.10, 49.70
249, 24.10, 49.80
250, 24.00, 49.80
251, 24.00, 49.90
252, 23.90, 50.00
253, 23.90, 50.20
254, 23.90, 50.20
255, 23.80, 50.20
256, 23.80, 50.30
257, 23.80, 50.40
258, 23.80, 50.50
259, 23.80, 50.60
260, 23.70, 50.70
261, 23.70, 50.80
262, 23.60, 50.80
263, 23.60, 50.90
264, 23.60, 51.00
265, 23.60, 51.10
266, 23.50, 51.20
267, 23.50, 51.20
268, 23.50, 51.30
269, 23.40, 51.30
270, 23.40, 51.40
271, 23.40, 51.50
272, 23.40, 51.50
273, 23.30, 51.70
274, 23.40, 51.90
275, 23.30, 52.00
276, 23.30, 52.00
277, 23.30, 52.20
278, 23.20, 52.10
279, 23.20, 52.20
280, 23.20, 52.20
281, 23.20, 52.30
282, 23.10, 52.30
283, 23.10, 52.40
284, 23.10, 52.50
